               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083302,            0.037485,            0.025265,             0.57713,             0.37348,             0.30838,              0.1272,            0.052857,            0.023204,            0.019012,            0.070101,           0.0033221,           0.0033221
                   1,            0.056783,            0.031335,            0.015911,             0.78682,             0.47234,             0.47793,             0.21878,            0.049108,             0.02094,           0.0085458,            0.037905,           0.0044591,           0.0044591
                   2,            0.048394,            0.029915,           0.0091466,             0.91363,             0.52748,             0.58137,             0.31713,            0.041167,            0.019617,           0.0056934,           0.0035084,           0.0033962,           0.0033962
